round_number,firm_id,wage,bid_number,time_offered,number_of_offers,worker_id,effort,transaction_number,offer_placement,highest_offer_accepted_boolean,worker_surplus,firm_surplus,time_accepted,time_to_accept,time_to_effort
2,3,30,4,17.533482551574707,1,7,0.1,3,1,1,4,9.600000000000001,20.120859146118164,2.587376594543457,4.346925258636475
2,4,55,3,8.599772691726685,1,8,0.4,2,1,1,25,28.400000000000002,9.685532808303833,1.0857601165771484,5.051358222961426
2,2,50,1,1.7039525508880615,1,5,0.7,1,1,1,14,53.199999999999996,3.3286221027374268,1.6246695518493652,26.39971661567688
3,2,50,1,1.8697121143341064,1,10,0.1,1,1,1,24,7.6000000000000005,2.5090713500976562,0.6393592357635498,3.8092422485351562
3,3,55,2,9.526604890823364,1,7,0.1,2,1,1,29,7.1000000000000005,10.438487768173218,0.9118828773498535,4.0070977210998535
3,1,50,3,13.96967101097107,1,9,0.2,3,1,1,23,15.200000000000001,14.319184064865112,0.34951305389404297,3.9488587379455566
3,4,45,4,16.20925211906433,1,5,0.7,4,1,1,9,56.699999999999996,16.60952925682068,0.40027713775634766,18.249077796936035
4,4,45,5,15.253780841827393,1,6,0.4,4,1,1,15,32.4,17.86435317993164,2.610572338104248,2.671665668487549
4,3,30,4,12.819940567016602,2,10,0.1,3,1,1,4,9.600000000000001,13.674731731414795,0.8547911643981934,4.311906099319458
4,2,45,3,6.520331144332886,1,9,0.2,2,1,1,18,16.2,7.1695520877838135,0.6492209434509277,4.389594554901123
4,1,45,1,2.763000726699829,1,5,0.6,1,1,1,11,48.6,3.175168991088867,0.4121682643890381,13.997111082077026
5,3,45,3,10.253102779388428,1,7,0.1,3,1,1,19,8.1,10.783419370651245,0.5303165912628174,2.6243832111358643
5,4,50,4,18.813336610794067,1,5,0.9,4,1,1,9,68.4,18.99703097343445,0.18369436264038086,2.6087629795074463
5,1,30,1,3.085965871810913,1,10,0.1,1,1,1,4,9.600000000000001,3.439725875854492,0.3537600040435791,3.0305376052856445
5,2,40,2,4.466852426528931,1,6,0.1,2,1,1,14,8.6,4.6165947914123535,0.14974236488342285,6.183460474014282
6,1,30,2,4.068299055099487,1,9,0.1,2,1,1,4,9.600000000000001,11.767963409423828,7.699664354324341,3.3585896492004395
6,2,40,5,41.110771894454956,1,8,0.2,4,1,1,13,17.2,41.51646900177002,0.4056971073150635,3.9365756511688232
6,3,35,3,10.486846923828125,2,6,0.1,1,1,1,9,9.1,10.963855743408203,0.4770088195800781,5.483496666
6,4,50,4,19.780529975891113,1,5,0.8,3,1,1,12,60.800000000000004,19.719369411468506,-0.061160564,6.561368227005005
7,2,65,5,27.25032901763916,1,7,0.1,4,1,1,39,6.1000000000000005,28.954847812652588,1.7045187950134277,2.359316825866699
7,1,40,2,3.7379941940307617,1,6,0.1,1,1,1,14,8.6,4.040745735168457,0.3027515411376953,2.0933263301849365
7,3,45,3,12.064549446105957,2,10,0.1,2,1,1,19,8.1,12.47841763496399,0.4138681888580322,3.5617306232452393
7,4,50,4,24.00967288017273,1,8,0.3,3,1,1,22,22.8,24.48566436767578,0.47599148750305176,17.812729120254517
8,3,45,2,9.864428043365479,1,10,0.1,2,1,1,19,8.1,10.315438270568848,0.45101022720336914,2.4049973487854004
8,2,65,1,1.6600525379180908,1,7,0.1,1,1,1,39,6.1000000000000005,2.907806873321533,1.2477543354034424,2.368065118789673
8,1,50,3,11.937174797058105,1,5,0.1,3,1,1,24,7.6000000000000005,12.198437690734863,0.2612628936767578,4.995180130004883
8,4,40,4,15.511312484741211,1,8,0.2,4,1,1,13,17.2,15.715917348861694,0.2046048641204834,10.985486030578613
9,2,30,2,4.468369483947754,1,5,0.1,2,1,1,4,9.600000000000001,4.327221870422363,-0.141147614,1.9058012962341309
9,1,20,3,7.619196891784668,1,6,0.1,3,1,1,-6,10.600000000000001,7.993880748748779,0.37468385696411133,2.7493538856506348
9,3,15,1,2.0450329780578613,1,9,0.1,1,1,1,-11,11.100000000000001,2.464392900466919,0.4193599224090576,2.9528396129608154
9,4,40,4,8.549750089645386,1,8,0.3,4,1,1,12,25.8,9.182123661,0.632373571,3.9838461875915527
10,2,5,5,20.050522804260254,1,10,0.1,3,1,1,-21,12.100000000000001,20.26577854156494,0.2152557373046875,2.265169382095337
10,4,45,3,9.536108971,1,6,0.1,1,1,1,19,8.1,9.982622385025024,0.44651341438293457,3.9522716999053955
10,3,25,4,14.700666189193726,3,5,0.1,2,1,1,-1,10.100000000000001,14.602049589157104,-0.0986166,5.858493328094482
11,2,55,6,37.836883544921875,2,7,0.1,4,1,1,29,7.1000000000000005,38.35573697090149,0.5188534259796143,2.296334981918335
11,1,25,3,17.905689477920532,1,10,0.1,2,1,1,-1,10.100000000000001,18.689048290252686,0.7833588123321533,4.093106031417847
11,3,25,4,21.36040759086609,2,8,0.1,3,1,1,-1,10.100000000000001,22.163875341415405,0.8034677505493164,6.123878717422485
11,4,35,2,15.173033237457275,1,6,0.1,1,1,1,9,9.1,15.526167154312134,0.3531339168548584,10.497853755950928
12,2,5,8,36.47128772735596,1,10,0.1,3,1,1,-21,12.100000000000001,37.02192974090576,0.5506420135498047,2.280714750289917
12,3,30,7,32.36409044265747,6,5,0.1,2,1,1,4,9.600000000000001,33.29839802,0.9343075752258301,2.640004873275757
12,1,20,2,5.714190483093262,1,9,0.1,1,1,1,-6,10.600000000000001,6.208686590194702,0.49449610710144043,3.8897109031677246
12,4,50,9,40.40994834899902,1,8,0.2,4,1,1,23,15.200000000000001,40.898967266082764,0.48901891708374023,8.707746028900146
13,1,20,2,3.926898717880249,1,6,0.1,1,1,1,-6,10.600000000000001,4.586127996444702,0.6592292785644531,1.941589593887329
13,3,30,9,34.03438210487366,6,9,0.1,4,1,1,4,9.600000000000001,35.509520292282104,1.4751381874084473,2.378986358642578
13,2,70,5,9.374889135360718,1,5,0.1,2,1,1,44,5.6000000000000005,10.186470031738281,0.8115808963775635,2.9261529445648193
13,4,65,7,17.300618648529053,1,8,0.4,3,1,1,35,24.400000000000002,17.819700479507446,0.5190818309783936,5.470331192016602
